Date,VNI_Close,Change,Volume,Transaction_value,a,b,c,d
10/11/2020,"951,90","-0,09(-0,01%)",456.747.250,"9.335,48 tỷ",26.787.427,"712,23 tỷ",48.975.463,"1.472,29 tỷ"
09/11/2020,"951,99","+13,70(+1,46%)",393.195.035,"7.883,09 tỷ",27.441.930,"795,10 tỷ",31.707.690,"1.004,13 tỷ"
06/11/2020,"938,29","+0,54(+0,06%)",268.232.099,"5.359,96 tỷ",14.616.660,"472,95 tỷ",23.140.110,"624,06 tỷ"
05/11/2020,"937,75","-2,01(-0,21%)",304.332.571,"6.380,14 tỷ",18.533.914,"608,02 tỷ",19.790.394,"582,63 tỷ"
04/11/2020,"939,76","+4,35(+0,47%)",350.871.986,"7.042,11 tỷ",15.152.860,"342,27 tỷ",33.859.114,"981,19 tỷ"
03/11/2020,"935,41","+1,73(+0,19%)",318.702.179,"6.306,11 tỷ",14.174.659,"399,20 tỷ",29.730.999,"1.055,93 tỷ"
02/11/2020,"933,68","+8,21(+0,89%)",297.601.123,"5.343,81 tỷ",13.432.360,"330,95 tỷ",25.858.880,"838,30 tỷ"
30/10/2020,"925,47","+6,39(+0,70%)",312.753.239,"6.557,65 tỷ",18.772.550,"608,13 tỷ",34.671.480,"1.181,00 tỷ"
29/10/2020,"919,08","-1,97(-0,21%)",436.132.930,"8.000,70 tỷ",22.626.020,"603,43 tỷ",24.317.780,"941,65 tỷ"
28/10/2020,"921,05","-25,42(-2,69%)",456.058.310,"9.019,37 tỷ",29.316.839,"735,78 tỷ",39.765.549,"1.217,11 tỷ"
27/10/2020,"946,47","-4,33(-0,46%)",455.852.375,"8.733,07 tỷ",39.747.891,"974,08 tỷ",44.889.481,"1.146,72 tỷ"
26/10/2020,"950,80","-10,46(-1,09%)",428.249.098,"8.550,87 tỷ",13.801.730,"349,41 tỷ",26.022.930,"770,35 tỷ"
23/10/2020,"961,26","+11,36(+1,20%)",452.492.266,"9.460,06 tỷ",51.034.067,"1.202,37 tỷ",58.390.967,"1.440,48 tỷ"
22/10/2020,"949,90","+10,87(+1,16%)",365.115.464,"7.308,15 tỷ",31.895.791,"571,35 tỷ",46.348.201,"1.172,74 tỷ"
21/10/2020,"939,03","-5,39(-0,57%)",412.650.340,"8.395,56 tỷ",27.134.530,"623,95 tỷ",35.127.930,"981,58 tỷ"
20/10/2020,"944,42","+0,73(+0,08%)",444.327.632,"9.190,83 tỷ",29.542.257,"774,83 tỷ",66.045.713,"1.682,88 tỷ"
19/10/2020,"943,69","+0,39(+0,04%)",389.468.232,"7.881,90 tỷ",23.729.573,"725,25 tỷ",35.558.423,"1.085,92 tỷ"
16/10/2020,"943,30","+0,54(+0,06%)",443.329.721,"9.275,54 tỷ",31.364.930,"864,13 tỷ",47.700.029,"1.291,49 tỷ"
15/10/2020,"942,76","+2,58(+0,27%)",470.505.206,"9.406,62 tỷ",35.836.687,"1.118,50 tỷ",44.256.427,"1.385,67 tỷ"
14/10/2020,"940,18","+10,32(+1,11%)",474.920.831,"14.399,10 tỷ",70.009.611,"5.988,75 tỷ",90.701.181,"6.548,75 tỷ"
13/10/2020,"929,86","+4,03(+0,44%)",359.015.145,"6.503,59 tỷ",17.486.441,"515,45 tỷ",17.192.171,"541,89 tỷ"
12/10/2020,"925,83","+1,83(+0,20%)",457.229.293,"9.004,38 tỷ",18.878.220,"498,68 tỷ",34.426.859,"875,50 tỷ"
09/10/2020,"924,00","+5,16(+0,56%)",388.133.119,"6.644,67 tỷ",20.218.300,"458,65 tỷ",22.641.997,"496,24 tỷ"
08/10/2020,"918,84","-0,88(-0,10%)",470.304.445,"7.946,26 tỷ",26.707.712,"678,38 tỷ",34.344.952,"772,10 tỷ"
07/10/2020,"919,72","+4,05(+0,44%)",523.961.365,"8.784,49 tỷ",19.855.970,"473,94 tỷ",28.370.267,"668,15 tỷ"
06/10/2020,"915,67","+0,99(+0,11%)",496.132.393,"8.205,02 tỷ",26.979.220,"778,92 tỷ",28.257.298,"877,33 tỷ"
05/10/2020,"914,68","+4,77(+0,52%)",456.101.119,"7.302,21 tỷ",29.138.000,"555,25 tỷ",31.606.281,"735,95 tỷ"
02/10/2020,"909,91","-4,18(-0,46%)",527.158.154,"8.592,17 tỷ",15.898.370,"344,53 tỷ",29.602.890,"622,42 tỷ"
01/10/2020,"914,09","+8,88(+0,98%)",352.448.619,"6.761,68 tỷ",12.973.090,"322,19 tỷ",22.451.058,"591,55 tỷ"
30/09/2020,"905,21","+1,23(+0,14%)",340.685.594,"6.359,63 tỷ",16.026.212,"280,88 tỷ",21.221.462,"530,18 tỷ"
29/09/2020,"903,98","-8,52(-0,93%)",465.359.349,"8.527,35 tỷ",25.788.240,"548,19 tỷ",43.678.134,"1.141,72 tỷ"
28/09/2020,"912,50","+4,23(+0,47%)",420.240.133,"7.250,99 tỷ",19.783.930,"396,82 tỷ",29.008.400,"782,80 tỷ"
25/09/2020,"908,27","-0,31(-0,03%)",361.232.130,"6.275,15 tỷ",13.316.020,"310,52 tỷ",21.506.770,"443,49 tỷ"
24/09/2020,"908,58","-3,92(-0,43%)",398.464.411,"6.408,17 tỷ",22.454.500,"495,46 tỷ",27.358.940,"617,17 tỷ"
23/09/2020,"912,50","+6,31(+0,70%)",392.506.597,"6.483,86 tỷ",26.774.807,"616,71 tỷ",23.505.557,"492,04 tỷ"
22/09/2020,"906,19","-1,75(-0,19%)",401.407.999,"6.745,96 tỷ",22.564.790,"548,65 tỷ",17.861.890,"466,31 tỷ"
21/09/2020,"907,94","+6,99(+0,78%)",403.435.014,"7.716,50 tỷ",22.890.390,"676,43 tỷ",21.922.360,"574,97 tỷ"
18/09/2020,"900,95","+6,91(+0,77%)",361.844.377,"6.661,62 tỷ",29.342.250,"827,81 tỷ",31.693.810,"895,59 tỷ"
17/09/2020,"894,04","-3,43(-0,38%)",395.454.931,"6.544,27 tỷ",24.834.950,"636,25 tỷ",29.099.780,"746,93 tỷ"
16/09/2020,"897,47","+1,21(+0,14%)",290.433.568,"5.049,80 tỷ",10.055.070,"237,55 tỷ",17.083.780,"402,36 tỷ"
15/09/2020,"896,26","+1,69(+0,19%)",381.798.801,"6.725,95 tỷ",19.516.760,"467,75 tỷ",26.430.775,"828,09 tỷ"
14/09/2020,"894,57","+5,60(+0,63%)",364.431.541,"6.380,38 tỷ",16.520.420,"413,12 tỷ",30.456.756,"840,44 tỷ"
11/09/2020,"888,97","+0,15(+0,02%)",309.908.605,"5.517,67 tỷ",21.437.130,"600,67 tỷ",32.870.950,"909,73 tỷ"
10/09/2020,"888,82","-0,50(-0,06%)",387.236.519,"11.429,46 tỷ",83.413.896,"5.720,04 tỷ",33.570.290,"972,07 tỷ"
09/09/2020,"889,32","-0,82(-0,09%)",318.443.237,"5.985,20 tỷ",20.768.880,"465,29 tỷ",26.475.230,"634,44 tỷ"
08/09/2020,"890,14","+1,89(+0,21%)",294.020.747,"5.788,10 tỷ",18.175.603,"536,17 tỷ",29.265.760,"965,48 tỷ"
07/09/2020,"888,25","-13,29(-1,47%)",434.062.933,"7.587,74 tỷ",25.861.120,"756,25 tỷ",23.447.170,"702,87 tỷ"
04/09/2020,"901,54","-2,43(-0,27%)",346.438.791,"6.732,39 tỷ",32.437.020,"1.113,60 tỷ",31.766.480,"1.128,25 tỷ"
03/09/2020,"903,97","+12,24(+1,37%)",370.489.521,"7.659,25 tỷ",52.358.723,"1.471,76 tỷ",39.022.477,"1.081,63 tỷ"
01/09/2020,"891,73","+10,08(+1,14%)",316.999.969,"5.998,87 tỷ",23.240.254,"601,65 tỷ",25.815.656,"793,93 tỷ"
31/08/2020,"881,65","+2,67(+0,30%)",352.651.008,"6.328,08 tỷ",13.775.490,"477,76 tỷ",29.660.599,"766,70 tỷ"
28/08/2020,"878,98","+4,27(+0,49%)",398.321.424,"7.686,28 tỷ",19.377.890,"571,35 tỷ",63.431.948,"1.798,56 tỷ"
27/08/2020,"874,71","+1,24(+0,14%)",325.718.147,"6.240,19 tỷ",25.432.270,"705,21 tỷ",25.942.357,"940,71 tỷ"
26/08/2020,"873,47","-0,65(-0,07%)",352.376.560,"6.233,84 tỷ",17.570.170,"573,44 tỷ",29.909.130,"934,64 tỷ"
25/08/2020,"874,12","+5,44(+0,63%)",399.065.173,"7.549,64 tỷ",18.185.670,"407,56 tỷ",29.741.860,"863,54 tỷ"
24/08/2020,"868,68","+13,90(+1,63%)",381.517.543,"6.646,03 tỷ",26.981.191,"676,30 tỷ",35.116.681,"1.071,93 tỷ"
21/08/2020,"854,78","+6,57(+0,77%)",286.817.402,"4.958,88 tỷ",16.232.631,"405,87 tỷ",21.844.079,"676,86 tỷ"
20/08/2020,"848,21","-3,00(-0,35%)",285.685.594,"6.598,88 tỷ",36.297.070,"2.132,88 tỷ",27.407.350,"706,91 tỷ"
19/08/2020,"851,21","+4,78(+0,56%)",240.147.222,"3.999,15 tỷ",12.347.440,"293,31 tỷ",12.426.490,"312,90 tỷ"
18/08/2020,"846,43","-3,72(-0,44%)",227.510.848,"3.953,03 tỷ",11.906.230,"278,09 tỷ",18.094.100,"561,42 tỷ"
17/08/2020,"850,15","-0,59(-0,07%)",237.510.681,"3.850,39 tỷ",5.055.900,"129,02 tỷ",9.407.470,"213,10 tỷ"
14/08/2020,"850,74","-4,31(-0,50%)",304.706.001,"5.162,85 tỷ",12.276.610,"317,45 tỷ",26.642.180,"525,10 tỷ"
13/08/2020,"855,05","+8,13(+0,96%)",256.244.523,"4.448,43 tỷ",17.260.790,"489,59 tỷ",22.930.240,"618,84 tỷ"
12/08/2020,"846,92","+3,84(+0,46%)",272.493.250,"4.513,22 tỷ",12.831.840,"371,10 tỷ",22.578.680,"467,62 tỷ"
11/08/2020,"843,08","-0,12(-0,01%)",249.000.304,"4.184,49 tỷ",15.120.310,"471,04 tỷ",23.141.420,"592,44 tỷ"
10/08/2020,"843,20","+1,74(+0,21%)",309.297.390,"4.868,16 tỷ",19.030.324,"406,51 tỷ",22.957.618,"595,10 tỷ"
07/08/2020,"841,46","+1,42(+0,17%)",259.884.838,"4.555,83 tỷ",12.563.890,"373,51 tỷ",17.687.080,"462,64 tỷ"
06/08/2020,"840,04","+2,24(+0,27%)",257.016.920,"4.152,38 tỷ",16.537.360,"388,32 tỷ",16.666.490,"374,51 tỷ"
05/08/2020,"837,80","+10,23(+1,24%)",306.639.158,"5.370,78 tỷ",21.814.700,"559,78 tỷ",18.576.200,"535,79 tỷ"
04/08/2020,"827,57","+12,92(+1,59%)",277.448.893,"4.179,05 tỷ",15.111.789,"413,93 tỷ",19.325.569,"527,99 tỷ"
03/08/2020,"814,65","+16,26(+2,04%)",298.136.184,"4.752,24 tỷ",18.337.650,"397,46 tỷ",13.804.110,"384,30 tỷ"
31/07/2020,"798,39","-2,74(-0,34%)",249.630.878,"3.902,24 tỷ",16.894.180,"455,97 tỷ",22.630.530,"585,52 tỷ"
30/07/2020,"801,13","+10,29(+1,30%)",188.944.703,"3.196,53 tỷ",15.080.331,"482,39 tỷ",16.379.366,"467,55 tỷ"
29/07/2020,"790,84","-22,52(-2,77%)",362.091.753,"5.463,96 tỷ",33.415.236,"721,03 tỷ",17.359.390,"417,24 tỷ"
28/07/2020,"813,36","+28,19(+3,59%)",328.490.834,"5.028,52 tỷ",27.318.410,"654,81 tỷ",14.390.270,"438,18 tỷ"
27/07/2020,"785,17","-43,99(-5,31%)",422.707.490,"7.018,36 tỷ",33.097.638,"749,73 tỷ",13.006.318,"455,09 tỷ"
24/07/2020,"829,16","-27,59(-3,22%)",505.098.514,"7.540,28 tỷ",29.803.820,"721,66 tỷ",19.998.890,"466,07 tỷ"
23/07/2020,"856,75","+1,67(+0,20%)",240.494.702,"3.863,16 tỷ",15.347.800,"439,92 tỷ",18.306.170,"522,41 tỷ"
22/07/2020,"855,08","-6,61(-0,77%)",278.602.354,"4.328,41 tỷ",11.699.980,"367,41 tỷ",17.837.180,"516,69 tỷ"
21/07/2020,"861,69","+0,29(+0,03%)",245.405.073,"4.579,16 tỷ",16.658.940,"578,98 tỷ",29.703.040,"883,29 tỷ"
20/07/2020,"861,40","-10,62(-1,22%)",285.075.775,"4.768,92 tỷ",9.942.070,"333,26 tỷ",21.611.340,"573,14 tỷ"
17/07/2020,"872,02","-4,81(-0,55%)",270.682.017,"4.575,91 tỷ",12.495.690,"313,77 tỷ",11.036.440,"316,56 tỷ"
16/07/2020,"876,83","+6,92(+0,80%)",243.472.026,"4.296,64 tỷ",17.348.139,"577,51 tỷ",19.708.699,"602,46 tỷ"
15/07/2020,"869,91","+1,80(+0,21%)",258.293.626,"4.465,52 tỷ",18.304.320,"615,78 tỷ",22.619.770,"726,41 tỷ"
14/07/2020,"868,11","-0,61(-0,07%)",239.137.660,"4.066,90 tỷ",8.781.774,"288,27 tỷ",14.851.032,"361,39 tỷ"
13/07/2020,"868,72","-2,49(-0,29%)",246.073.500,"4.342,50 tỷ",20.410.022,"581,44 tỷ",28.040.982,"645,74 tỷ"
10/07/2020,"871,21","-5,25(-0,60%)",291.113.796,"4.840,51 tỷ",24.814.044,"820,83 tỷ",31.625.224,"982,72 tỷ"
09/07/2020,"876,46","+11,96(+1,38%)",306.075.738,"5.240,50 tỷ",19.638.148,"737,75 tỷ",23.933.928,"899,65 tỷ"
08/07/2020,"864,50","+1,08(+0,13%)",237.540.566,"4.302,28 tỷ",11.471.058,"387,79 tỷ",21.247.554,"702,02 tỷ"
07/07/2020,"863,42","+2,26(+0,26%)",330.902.376,"5.716,59 tỷ",26.589.279,"870,25 tỷ",26.265.299,"810,71 tỷ"
06/07/2020,"861,16","+13,55(+1,60%)",215.091.679,"4.185,21 tỷ",19.456.728,"699,15 tỷ",20.535.431,"674,11 tỷ"
03/07/2020,"847,61","+5,23(+0,62%)",203.001.178,"3.561,50 tỷ",20.401.106,"610,48 tỷ",20.756.746,"451,88 tỷ"
02/07/2020,"842,38","-1,11(-0,13%)",223.794.868,"3.781,67 tỷ",14.301.210,"544,41 tỷ",23.284.970,"721,57 tỷ"
01/07/2020,"843,49","+18,38(+2,23%)",303.545.946,"4.655,51 tỷ",36.446.782,"1.000,24 tỷ",34.490.532,"883,27 tỷ"
27/07/2021,"1276,93","+4,22(+0,33%)",566.746.020,"18.550,00 tỷ",43.612.300,"2.256,41 tỷ",35.295.700,"1.969,73 tỷ"
28/07/2021,"1277,71","+0,78(+0,06%)",288.465.204,"9.182,00 tỷ",10.636.700,"469,81 tỷ",11.685.960,"521,28 tỷ"
30/07/2021,"1310,10","+16,50(+1,28%)",536.078.861,"17.603,00 tỷ",27.737.500,"1.460,85 tỷ",22.298.600,"1.147,63 tỷ"
29/07/2021,"1293,60","+16,53(+1,29%)",491.061.034,"16.279,00 tỷ",47.351.800,"1.617,52 tỷ",54.226.100,"1.688,27 tỷ"
